word_german,word_english,semantic_category,exemplar_generation_n_20,exemplar_generation_percent,typical_M,typical_SD,aoa_M,aoa_SD,familiar_M,familiar_SD,frequency,frequency_log,phonemes,syllables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kanarienvogel,canary,bird,3,0.15,2.05,1.32,4.10,1.37,2.80,1.20,1.46,0.17,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buchfink,chaffinch,bird,2,0.10,2.40,1.73,4.40,1.60,2.25,0.79,0.20,-0.71,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huhn,chicken,bird,9,0.45,2.45,1.88,2.05,0.60,4.15,0.99,11.90,1.08,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nymphensittich,cockateel,bird,1,0.05,3.53,1.98,5.17,1.47,2.35,1.14,0.02,-1.79,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mäusebussard,common buzzard,bird,2,0.10,2.75,1.65,5.05,1.10,2.40,1.50,None,None,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kranich,crane,bird,7,0.35,2.95,1.76,4.60,0.94,2.85,1.50,0.69,-0.16,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krähe,crow,bird,8,0.40,1.85,1.66,2.75,0.91,3.00,1.49,3.16,0.50,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuckuck,cuckoo,bird,11,0.55,2.05,1.54,2.05,0.76,3.00,1.38,2.25,0.35,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taube,dove,bird,15,0.75,1.65,1.18,2.40,0.68,3.60,1.19,8.73,0.94,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ente,duck,bird,9,0.45,2.10,1.74,1.60,0.60,4.25,0.85,5.40,0.73,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adler,eagle,bird,14,0.70,1.70,1.22,3.30,1.30,3.15,1.18,17.13,1.23,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uhu,eagle owl,bird,7,0.35,2.95,1.93,2.20,1.24,2.84,1.07,1.00,0.00,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fink,finch,bird,17,0.85,1.70,0.98,3.25,1.48,2.60,1.10,2.04,0.31,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
