word_english,arousal_LSA_M,arousal_norms_M,concrete_LSA_M,concrete_norms_M,dominate_LSA_M,dominate_norms_M,imagine_LSA_M,imagine_norms_M,valence_LSA_M,valence_norms_M
infancy,5.12,,3.28,,5.15,,4.18,,5.7,
infant,5.16,5.05,3.77,,4.91,5.67,4.55,,5.53,6.95
infanticide,5.77,,3.69,,5.42,,4.48,,5.98,
infantile,5.11,,3.8,,4.03,,4.41,,3.14,
infantry,5.95,,5.17,5.54,4.79,,5.14,4.89,4.12,
infect,5.05,,4.15,,4.05,,4.35,,2.89,
infected,5.12,,4.1,,3.96,,4.4,,2.82,
infection,5.18,5.03,4.22,,4.02,3.61,4.44,,2.97,1.66
infectious,5.17,,4.14,,4,,4.38,,2.84,
infer,5.03,,2.91,,5.49,,3.34,,6.04,
inference,4.79,,2.71,,5.52,,3.19,,5.93,
inferior,5.17,3.83,3.13,,5.73,2.78,3.74,,6.04,3.07
inferiority,5.7,,2.94,,5.08,,4.17,,5.37,
infernal,5.57,,3.44,,4.71,,4.63,,3.88,
infertile,5.45,,4.14,,5.26,,4.5,,5.51,
infest,5.18,,5.22,,4.37,,5.13,,3.66,
infidel,5.36,,3.92,,5.3,,4.56,,5.49,
infield,5.21,,5.2,,5.45,,5.23,,5.75,
infielder,5.22,,5.21,,5.44,,5.15,,5.43,
infiltrate,5.75,,3.66,,4.66,,4.25,,4.04,
infiltration,5.16,,5.03,,4.66,,4.75,,4.31,
infinite,5.32,,2.84,,5.32,,3.79,,5.58,
infinitely,5.47,,3.25,,5.19,,4.17,,5.27,
infinitesimal,5.32,,3.61,,5.28,,4.51,,5.75,
infinitive,5.27,,3.74,,5.36,,3.93,,5.62,
infinity,5.13,,4.14,1.86,5.33,,4.31,4.75,5.99,
infirm,5.25,,3.85,,4.83,,4.76,,4.57,
infirmary,5.18,,4.72,,4.42,,5.04,,4.12,
infirmity,5.12,,3.51,,4.28,,4.2,,3.47,
inflame,5.01,,4.18,,4.03,,4.51,,3.18,
inflammable,4.95,,5.36,,4.94,,5.18,,5.1,
inflammation,5.11,,4.18,,3.97,,4.41,,3,
inflammatory,4.97,,4.24,,4.08,,4.46,,3.13,
inflate,5.15,,5.1,,4.78,,5.17,,4.95,
inflated,5.1,,4.58,,4.67,,4.77,,4.8,
inflation,5.38,,3.52,,4.7,,4.03,,4.61,
inflationary,5.31,,3.48,,4.83,,3.86,,4.89,
inflection,4.92,,3.48,,5.1,,3.81,,5.22,
inflectional,4.81,,3.45,,5.18,,3.66,,5.27,
inflexible,5.22,,3.25,,5.11,,3.66,,5.21,
inflict,5.88,,3.63,,4.51,,4.17,,3.43,
influence,5.17,,2.93,2.71,5.9,,3.51,2.76,6.45,
influential,5.23,,3.08,,5.84,,3.69,,6.39,
influenza,5.16,,4.09,,3.92,,4.35,,2.75,
influx,5.2,,3.67,,5.28,,3.97,,5.35,
inform,5.17,,3.6,,5.49,,3.87,,5.93,
informal,5,,3.53,,5.57,,3.88,,6.2,
informality,4.87,,3.89,,5.46,,4.23,,5.86,
informally,5.1,,3.82,,5.44,,4.12,,5.95,
information,4.84,,4.04,3.94,5.79,,4.09,3.7,6.48,
informational,4.86,,4.1,,5.71,,4.26,,6.51,
informative,4.87,,3.71,,5.55,,3.99,,6.13,
informed,5.28,,3.19,,6.07,,3.57,,6.75,
informer,6.03,,4.29,,4.11,,4.89,,2.8,
infrared,5.1,,4.87,,5.36,,5.11,,6.22,
infrequent,5.2,,3.49,,5.06,,3.75,,5.3,
infrequently,5.19,,2.76,,5.27,,3.29,,5.5,
infringe,4.93,,3.4,,5.03,,3.83,,5.28,
infuriate,6.02,,3.79,,5.06,,4.56,,4.43,
infuse,5.44,,3.02,,5.43,,4.2,,5.7,
infusion,4.96,,3.25,,5.28,,3.54,,5.5,
ingenious,5.35,,2.98,,5.94,,3.7,,6.69,
ingenuity,5.41,,3.14,,5.91,,4.01,,6.6,
ingest,4.96,,4.61,,4.59,,4.48,,3.69,
ingestion,5.05,,4.76,,4.67,,4.84,,4.26,
ingot,4.48,,5.78,,5.18,,5.23,,5.45,
ingrained,5.27,,2.77,,5.05,,3.4,,5.12,
ingredient,4.61,,6.07,,5.3,,5.74,,6.02,
inhabit,4.99,,4.27,,5.21,,4.39,,5.41,
inhabitant,5.16,3.95,3.74,5.06,5.42,5.37,4.27,4.22,5.52,5.05
inhalation,5.49,,4.48,,4.41,,4.77,,3.74,
inhale,5.04,,5.06,,4.47,,5.09,,3.71,
inherent,5.19,,2.86,,5.77,,3.4,,6.47,
inherently,5.11,,3.21,,5.23,,3.62,,5.36,
inherit,5.12,,3.71,,5.15,,3.84,,5.46,
inheritance,5.29,,3.46,,5.36,,3.72,,5.82,
inhibit,5.61,,3.81,,5.13,,4.06,,5.1,
inhibition,5.45,,4.17,2.51,4.41,,4.67,3.89,3.71,
inhibitive,5.18,,4.39,,4.79,,4.19,,4.37,
inhospitable,5.09,,4.52,,4.86,,4.9,,4.41,
inhuman,5.97,,3.38,,4.64,,4.66,,3.75,
initial,5.17,,3.22,,5.44,,3.42,,5.77,
initially,5.23,,3.13,,5.56,,3.41,,6.06,
initiate,5.26,,3.43,,5.33,,3.62,,5.58,
initiation,5.52,,3.73,2.63,5.72,,4.47,3.76,6.59,
initiative,5.2,,3.52,,5.55,,3.88,,5.69,
inject,5.37,,4.39,,3.95,,4.58,,2.86,
injection,5.14,,4.35,,4.19,,4.53,,3.59,
injector,4.65,,4.94,,4.83,,4.91,,4.98,
injunction,5.1,,3.5,,4.43,,3.9,,4.2,
injure,5.4,,3.59,,3.99,,4.37,,3.29,
injured,5.36,,3.67,,4,,4.31,,3.52,
injurious,5.23,,3.81,,4.6,,4.09,,4.04,
injury,5.28,5.69,3.57,,3.99,3.57,4.26,,3.45,2.49
injustice,5.32,,2.86,,5.2,,4,,4.94,
ink,4.34,3.84,5.17,,5.19,4.61,4.91,,5.53,5.05
inkblot,4.95,,3.63,,5.35,,4.09,,5.75,
inkling,5.19,,3.91,,4.68,,4.63,,4.72,
inkwell,4.6,,5.23,,5.09,,5.3,,5.52,
inky,4.85,,4.31,,5.14,,5.33,,5.79,
inland,4.83,,5.03,,5.14,,5.09,,5.86,
inlay,5.19,,5.64,,5.36,,5.51,,6.17,
inlet,4.73,,5.2,,4.85,,5.15,,5.24,
inmate,5.79,,3.93,,4.2,,4.5,,3.09,
inn,5.01,,4.68,6.37,5.19,,4.86,5.81,5.61,
innate,5.47,,3.38,,5.81,,3.84,,6.65,
inner,4.61,,4.71,,5.1,,4.49,,5.11,
inner-city,5.25,,3.69,,5.35,,4.21,,5.5,
inner-directed,5.38,,3.35,,5.59,,4.11,,6.09,
innermost,4.79,,4.28,,5.14,,4.32,,5.51,
inning,5.29,,5.17,,5.55,,5.19,,5.71,
innkeeper,5.34,,4.64,,5.24,,4.89,,5.32,
innocence,5.44,,3.63,2.34,4.33,,4.16,3.89,3.7,
innocent,5.65,4.21,3.86,,4.12,5.28,4.46,,3.05,6.51
innocently,5.06,,3.73,,4.92,,4.43,,5.13,
innovation,5.27,,3.08,,5.84,,3.7,,6.68,
innovative,5.21,,4,,5.77,,4.29,,6.32,
innovator,5.49,,3.56,,6.1,,4.11,,7.11,
innumerable,5.17,,3.24,,5.83,,3.88,,6.56,
inoculate,5.1,,4.36,,4.1,,4.59,,3.33,
inoculation,5.2,,4.2,4.86,3.99,,4.58,5.19,3.2,
inorganic,4.84,,4.83,,5,,4.36,,5.03,
input,4.77,,4.39,,5.25,,4.26,,5.6,
inquire,5.4,,3.57,,5.27,,4.19,,5.65,
inquiring,5.34,,3.37,,5.56,,4.08,,6.11,
inquiringly,4.95,,4.8,,5.05,,4.88,,5.35,
inquiry,5.22,,2.97,3.6,5.43,,3.43,3.27,5.7,
inquisitive,4.64,,4.42,,4.78,,5.04,,5.11,
inroad,5.22,,3.47,,5.46,,4.16,,5.93,
