word_english,letters_N,frequency_M_log,familiar_M_American,familiar_M_British,imagine_M_British,aoa_M_log,imagine_M_American,transparency_M,Lexeme_Meaning_Dominance_M,Length_first_lexeme_M,Frequency_first_lexeme_M,familiar_M_first_lexeme,aoa_M_log_first_lexeme,imagine_M_first_lexeme,bilabial,labiodental,dental,labiovelar,postalvelolar,alveolar,palatal,palatal.alveolar,glottal,velar,voiced,length_second_lexeme_M,frequency_second_lexeme_M,familiar_M_second_lexeme,aoa_M_log_second_lexeme,imagine_M_second_lexeme
handlebar,9,2.31,6.43,6.4,6.5,0.514104821,6.33,5.93,4.87,6,4.59,5.46,0.595496222,5.2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,3,4.75,5.92,0.568201724,6.1
hatpin,6,2.23,2.57,3.13,2.97,0.792391689,2.62,4.71,6.1,3,4.76,5.8,0.380211242,6.7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,3,4.26,5.24,0.51851394,6
headrest,8,2.17,6.64,5.97,5.93,0.602059991,4.81,5.4,4.93,4,5.61,6.11,0.361727836,6.8,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,5.28,5.9,0.531478917,3.8
heatstroke,10,1.87,6.43,6.27,4.2,0.753327667,3.62,5.6,4.87,4,4.76,5.8,0.491361694,3.9,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,6,4.19,4.78,0.62324929,4.5
hedgehog,8,3.72,6.5,6.63,6.73,0.579783597,5.76,2.4,5.87,5,3.96,4.87,0.69019608,5.8,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,3,3.47,5.28,0.51851394,6.6
heirloom,8,3.27,5.36,4.67,3.37,0.67516709,3.57,3.29,3.4,4,4.23,4.12,0.740362689,3.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,3.27,1,0.740362689,3.3
hellfire,8,2.8,4.21,5.33,3.43,0.763427994,3.38,4.14,6.14,4,4.89,5.64,0.544068044,5.3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,5.18,5.8,0.462397998,6.5
henceforth,10,2.5,5.5,4.83,1.97,0.792391689,1.38,3.08,5.4,5,3.95,1,0.748188027,2.1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,5,4.18,4.36,0.602059991,3.2
hideaway,8,2.87,5.36,6.03,3.9,0.636822098,2.67,5.87,4,4,4.66,5.15,0.431363764,3.7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,5.84,6.42,0.561101384,2.6
hitchhike,9,2.14,6.64,6.23,5.37,0.737722593,5.14,2.93,4.27,5,3.47,1,0.698970004,3.7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,3.6,1,0.579783597,5.6
hitherto,8,2.71,3.79,2.2,1.2,0.819543936,1.1,2.6,4.85,6,2.82,1,0.758154622,2.8,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,7.42,6.13,0.342422681,1.4
hogwash,7,2.02,4.21,2.7,1.67,0.748188027,1.81,2,4.69,3,3.47,5.28,0.51851394,6.6,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,4.54,6.32,0.414973348,5.1
hoodwink,8,2.14,4.79,3.53,2.17,0.787696568,2.19,1.6,4.62,4,3.95,5.41,0.556302501,6.2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,3.46,5.21,0.556302501,5.4
hopscotch,9,2.5,6.14,6.17,5.87,0.425968732,5.9,2.5,1.67,3,4.31,4.32,0.397940009,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,6,3.75,1,0.716003344,5.2
humankind,9,2.92,6.79,6.5,4.63,0.669006781,3.81,5,3.2,5,3.49,5.96,0.564666064,6.4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,5.6,5.75,0.477121255,2.7
humdrum,7,2.57,3.71,2.8,1.73,0.77815125,1.67,2.5,4.25,3,5.06,1,0.568201724,3.8,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,4.33,5.06,0.491361694,6.4
jailbreak,9,2.17,6.43,5.4,3.97,0.704722333,4.52,4.36,5,4,4.36,4.73,0.531478917,6.6,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,5,5.23,5.29,0.51851394,4.5
jigsaw,6,3.68,6.36,6.77,6.8,0.514104821,5.71,1.93,5.14,3,3.13,1,0.681241237,3.5,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,3,5.4,5.52,0.447158031,3.9
