word_english,aoa_s_N,aoa_s_M,aoa_s_SD,rt_M,rt_SD
rash,32,3.7,1.2,2381.2,3749
rasp,31,5.7,1.2,1752.4,1285.5
rat,32,2.8,1,1532.7,840.6
rate,32,4.2,1,1708.9,1039.9
rave,32,5.4,0.9,2883.9,2574.9
raw,32,3.8,1,1939.9,1265.8
ray,32,3.9,1.3,2608.7,3212.4
rays,32,4.4,1.3,2733.8,2530
reach,32,3.2,0.9,2183.1,2683.6
realm,32,5.8,1.1,2226.4,3002.5
ream,32,6,1.1,2017.7,2050.1
reap,32,5.8,1.2,2129.8,1818.1
rear,32,3.8,1.2,2104.3,1861.7
red,32,2,0.5,1565.7,1144.6
reed,32,5.1,1.4,1937.3,1489.4
reef,31,4.4,1.1,2080.4,1341.4
reek,32,5.4,1.3,1799.8,1605
reel,31,4.8,1.4,2288.1,2581.6
reign,32,5.4,1.1,5247.8,14965.9
rein,32,4.8,1.2,2023.2,1604.8
rend,30,6.2,1,2566.6,3832
rent,31,4.6,1.1,1985.5,1195.7
rest,32,3.4,1.3,2496.8,3567.6
retch,32,6.2,0.9,1822.7,1232.4
rev,32,5.5,1.3,1998.3,1428.7
rhyme,31,3.9,1.2,2856.8,4386
rib,32,3.8,1.1,1992.4,1378.4
rice,32,3,0.8,2105.9,1791.7
rich,30,3.5,0.9,1884,1410
rid,32,4.2,1,1946.5,1907.8
ride,31,3,0.9,1853.2,1171.5
ridge,32,4.7,0.9,2325.4,2332.4
rift,32,5.6,1.1,1748.9,910
rig,31,4.9,1.2,2386.9,1574
right,32,2.8,0.7,1706.1,941.8
rile,32,6,1.3,1757.2,981.6
rim,30,4.3,1,2195.8,2207.7
rind,32,5.6,1.4,1930.9,1397.7
ring,31,2.9,0.7,1678.7,840.1
rink,31,4.6,1.2,2588,2639.7
rinse,32,3.6,1.1,2916.1,4084.8
rip,31,3.4,1.1,1985.2,1577.5
ripe,32,4.2,1.1,3508.7,5649.9
rise,32,3.8,0.8,2346.1,2291.6
risk,32,3.8,1.1,2810,5319.5
rite,31,5.7,1.3,2489.4,2225.8
roach,31,3.7,1,2619.5,3285.6
road,32,2.8,0.8,1883.1,1714
roam,32,4.7,1,2258.9,3041.7
roar,30,3,1.2,2351.3,1939.5
roast,31,4.1,0.8,2195.6,2355
rob,30,3.5,1,2198,1989.3
robe,31,3.7,1,2815.3,4394.9
rock,30,2.6,0.9,1721.5,1391
rod,32,4,1,3293.5,5474.9
rode,32,3.7,1.1,2660,3728.8
roe,32,5.6,1.6,4780.9,15345.6
rogue,32,6.4,0.9,1717.8,1295.9
role,32,4.2,1.1,1884.6,1330.4
roll,32,3.1,0.9,2496.5,3394.7
romp,30,5.4,1.3,1577.9,911.7
roof,32,3.3,1.1,1800.4,1527.3
rook,31,6.1,1,1664.9,893.4
room,30,2.6,0.8,1856.3,1445
roost,31,5.1,1.6,2050,1488.6
root,32,3.7,0.8,2670.9,2490.9
rope,32,3.2,0.9,1913.4,2567.5
rose,31,3,1,1884.6,1267.1
rot,31,4.3,0.9,2083.5,1513.8
rouge,32,5.8,1.2,2038.2,1336.5
rough,32,3.8,1.1,2096.8,2330.8
round,31,3,0.9,2216,1849
rout,31,5.7,1.2,3221.3,6497
route,31,4.8,0.9,3131.6,4030.6
rove,32,6,1.1,1634.7,909.1
rub,32,3,0.9,1969.9,1989.8
rude,32,3.6,0.9,1768.1,1169.3
rue,31,6,1.4,1630.9,976.9
rug,32,3,0.9,2235.6,2208.6
rule,30,3,0.8,1820,1429.4
rum,32,5.4,1.1,2392.4,2565
rump,32,4.9,1.5,2211.8,1644.2
run,32,2.4,0.6,2024.2,1914.3
rung,30,4.3,1.3,1850.4,1002.6
runt,31,4.6,1.2,2232,1530.2
rush,31,3.7,1,3463.3,3690
rust,31,4,0.9,2241.5,2103.2
rut,32,5.2,1.1,2495.6,3961.2
rye,32,5.2,1.3,1772.9,1026.7
sack,32,3.8,1,3164.1,4850.9
sad,30,2.1,0.6,1423.6,719.3
safe,31,3,0.9,2384.2,3487.3
sag,32,4.5,1.2,2900,4006.5
sage,32,5.8,1.1,2668.1,3155.2
said,32,3,1,1880.6,1594.5
sail,32,3.5,0.8,2151.9,2607.8
saint,30,4.1,1.2,2357.4,2453.1
sake,32,5.1,1.2,2655.2,1541
sale,31,4.1,1.2,1853.1,1080.3
salt,32,3.1,1.1,1509.3,620.7
salve,32,6,1,1956.4,1278
same,30,2.8,0.9,1774.9,1019.1
sand,32,2.6,0.7,1761.4,1559.4
sane,32,5.2,1.2,1815.9,1132.4
sang,32,3.3,1,2076.3,1704.6
sank,32,3.6,1,2108.7,1632.7
sap,32,4.6,1.2,2069.5,1758.6
sash,31,4.9,1,1936.2,1118
sat,32,2.8,0.9,2462.6,2969.1
sauce,31,3.4,1.1,1846.1,1013.4
save,32,3.3,0.8,1897.1,2101.9
saw,31,2.8,0.9,1757.8,1233.8
say,32,2.5,0.9,1477.6,937
scab,31,3.5,0.9,2031.6,1812.8
scald,32,5,1.4,2035.5,1625.1
scale,31,4.1,0.9,2156.8,2744.8
scalp,32,4.1,1,1954.1,1363.4
scamp,31,5.9,1.5,1647.4,1019.8
scan,32,4.6,1.2,2659.4,3057
scant,32,6.4,0.8,1625.8,1082.3
scar,30,3.5,1.1,2364.1,2274.3
scarce,31,5.5,1,2823.9,2853.2
scare,31,2.9,0.8,1854.6,1105.8
scarf,32,3.7,0.9,2067.9,1297.7
scene,31,4.2,0.9,2446.1,2254.4
scent,32,4,1,1993.1,1969.8
scheme,32,5.3,1.2,2025.1,1730.8
school,32,2.7,0.6,1983.9,1110.4
scoff,32,6,1.1,2060.3,2146
scold,30,3.9,1.1,1774.2,1336.2
scoop,32,3.9,1,2666.6,3137.9
scope,31,4.8,1.2,3004.6,3367.4
scorch,31,5.3,0.9,2175.9,2375.7
score,32,3.2,1,2182.8,2226.2
scorn,31,5,1.1,2309.7,2077.2
scotch,32,5.2,1.4,1833.7,896.4
scour,31,5.8,1.1,1964.8,1028.4
scourge,31,6.2,1.1,2716.4,3627.8
scout,32,3.9,1,2169.6,1586.5
scowl,31,5.1,1.2,2935.3,3094.4
scrap,30,3.9,1.1,2695.1,2402.2
scrape,31,3.8,1.2,2363.8,1847.2
scratch,32,3.2,1.2,1587.5,924.9
scrawl,32,5.8,1.2,2237.6,1728.6
scream,31,2.9,0.9,1553.6,831.1
screech,32,4.2,1.1,2067.8,1232.1
screen,32,3.7,1,2172.3,1889.4
screw,31,4,1.1,2379.4,1691.2
scribe,31,5.5,1.2,2008.8,1478.4
script,32,4.8,1,2347.8,1885.9
scroll,31,4.5,0.9,1947.7,1503.9
scrub,30,3.5,1.1,2841.3,3792.5
scruff,32,5.3,1.2,2603.3,2992.9
scum,32,4.7,1.3,1987.7,1323.6
sea,31,3,0.8,1707.4,1197.5
seal,32,3.4,1.1,1736.2,1274
seam,32,4.8,1.1,1649.4,596.2
sear,32,5.9,1.2,2625.3,3811.9
search,32,3.8,0.6,2295.9,2322.4
seat,32,2.8,0.8,1826.6,1291.5
sect,31,6,1.1,1800.9,1260.2
see,32,2.3,0.7,1859.3,1141.3
seed,31,3,0.8,1811.9,1179.9
seek,32,4.2,1.2,3817.3,6039.1
seem,32,3.7,0.8,1931.1,1018.1
seep,31,5.7,1,2548.7,4792.2
seize,32,5.2,1.2,1692.7,1157.2
self,32,3.2,1,1953.2,1597.2
sell,32,3.5,0.6,2083,2111.4
send,29,3.6,1.1,1914.8,1641.4
sense,31,4.4,0.9,2638.3,3056.1
sent,31,3.7,0.9,2806.3,3131.4
serf,32,6,1.1,1900,999.1
serve,32,3.9,1,2187.5,1932.5
set,30,3.2,1.1,1968.1,1665.6
sew,31,4,1.1,1629.7,1016.1
sex,32,4.6,1.2,3626.3,3040.2
shack,32,4.2,0.9,2308.8,1681.7
shade,31,3.9,0.9,2103.2,1565.8
shaft,31,5.3,1,2285.4,2359.3
shag,32,5.6,1.2,1852.6,955.1
shake,32,3.5,1.2,1969.6,1445
shale,32,6.2,1.1,1656.2,1159.1
shall,32,4.5,1.2,2105.6,1903.9
sham,31,5.5,1.3,2448.9,3617.5
shame,32,4,1,1965.5,1175.3
shank,31,5.7,1.2,2063,1946
shape,31,3.1,1,2100.7,2666.2
share,32,2.7,0.9,1794.2,1244.5
shark,32,2.8,0.8,1663.9,1141.6
sharp,32,3.1,1,2755.5,2973.9
shave,32,4.2,1.1,2006.7,1075.7
shawl,31,5,1.2,2053.9,1233.1
she,32,2.2,0.8,1745.7,1437.3
shear,32,5.3,1.1,1856.2,1039.7
sheath,32,5.9,1.2,1971.8,2271.3
sheathe,32,6.5,0.7,1736.9,1262.4
sheave,31,6.6,0.7,1823.6,2036.1
shed,32,3.7,1.2,2430.4,2522.6
sheen,32,6.1,1.1,3438.3,9531.4
sheep,31,2.9,1,1636.2,928.8
sheer,32,5,1,2186,1543.1
sheet,30,3.3,1,2434.7,2108.7
sheik,32,6.3,0.9,1475.2,950.2
shelf,32,3.5,1,1907.2,1617.4
shell,32,3.1,0.9,2629.3,3125.7
shelve,32,3.8,1.2,2105.7,1251
shield,31,4.1,1,3048.1,3632.2
shift,32,4.8,0.9,2299.1,1572.6
shill,31,6.3,1,1743.1,1465.8
shin,32,4.1,1.5,1955.8,1307.4
shine,32,3.7,1.2,2599.1,2979.9
ship,32,2.8,1,2134.5,2080.2
shirk,32,6.4,1.2,1832.5,868.3
shirt,30,2.4,0.9,1760,1077.1
shoal,31,6.2,1,1690.8,1541.5
shock,31,3.9,0.9,2337.2,1594.4
shoe,31,2.4,0.7,1850.1,1291.9
shone,32,5.1,1.2,2094.5,1595.9
shook,32,3.7,0.9,1740.4,1236.9
shoot,31,3.2,0.9,2394.1,4745.5
shop,32,3.3,0.9,1791.5,1112
shore,32,3.7,1.2,2337.7,2218.2
short,32,2.9,1.1,2064.4,1796.9
shot,32,3.5,0.9,1579.3,843.8
should,31,3.2,1,2706.1,2025.1
shout,32,3.1,0.7,1731,1694.3
shove,32,3.7,1,2126.4,2232.7
show,32,2.9,0.8,2655.1,2625.9
shrank,32,4.4,1.1,1868.5,1321.6
shred,32,4.1,1,2295.7,2246.8
shrew,32,6.1,1,1500.1,910.4
shrewd,32,6.1,1.1,2425.4,2980.8
shriek,31,4.6,1.5,2566.5,3706.9
shrill,32,5.3,1.2,2181.3,1560.3
shrimp,32,3.5,0.9,2043.6,1747.3
shrine,32,5.4,0.9,1907.2,971.3
shrink,32,3.9,1,2342.6,3069.6
shroud,32,6.1,1.3,1808,1102.2
shrub,31,4.3,1.2,1703.2,772.9
shrug,32,4.3,1.1,2178.6,1398.5
shrunk,32,4,1,1931.1,1134.8
shuck,32,5.5,1.3,2133.9,1171.5
shun,32,5.2,1.2,2226.3,3828.8
shunt,32,6.3,1.2,1901.7,1268.4
shush,29,3.4,1.3,2433.1,1317.7
shut,30,2.9,0.8,1334.6,640.2
shy,31,3.3,0.9,2082.5,1829.6
sick,32,2.6,1,1705.4,1190.9
side,31,3.4,1.1,2048.5,1978.8
siege,32,5.9,0.8,1935.2,1567
sieve,32,6.4,1,1651.7,1464.3
sift,32,5.2,1.3,2319.9,1591.5
sigh,32,4.1,1.1,1595.9,760.9
sight,32,3.8,0.9,2329.4,1457.4
sign,32,3.4,0.9,2405.7,2092.6
silk,32,4.3,0.9,2103.5,1451
sill,31,5.6,1,2204.5,1142.7
silt,32,5.7,1.1,2688.9,2308.8
sin,32,3.6,1.1,2025.7,1045.2
since,31,3.8,0.9,2121.2,2272
sing,32,2.8,1,1630.6,947.1
singe,32,5.8,1,2357.5,1739.2
sink,31,3.2,1,2099.8,2312.5
sip,32,2.8,1,1795,1055.4
sir,32,3.2,1,2253.8,1194.3
sire,32,6,1.3,1834.5,1884.7
sit,32,2.3,0.5,1675.5,1389.1
site,31,4.3,1.2,2994.5,3279.8
six,32,2.2,0.7,1788.8,1200.3
size,31,3.1,0.9,2208.8,2111
skate,32,3.3,1,2537.2,3055.6
sketch,32,4.6,1,2218.3,1390.4
skew,31,6,0.8,1938.7,2110.6
ski,32,3.5,0.9,2438,1643.9
skid,32,4.5,1.2,3320.4,6384.9
skill,32,4.3,0.8,2166.4,2009.6
skim,32,4.5,1.2,2107.4,1062.6
skimp,32,5.3,1.1,2221.1,2067.3
skin,32,2.8,0.8,2599.4,3037.9
skip,32,3.3,1,1836.5,1068.4
skirt,30,3.1,0.9,1983.4,1353
skit,31,4.5,1.1,2025.3,1599.4
skulk,30,6.2,1,1782.6,1052.3
skull,31,3.8,1,1861.7,1303.1
skunk,32,3.2,1,2156.2,1573.4
sky,31,2.5,0.8,1541.9,667.8
slab,32,4.6,0.9,2185.8,1562.3
slack,31,4.6,1.1,2090.6,1844.2
slag,31,5.6,1.5,1965.1,1613.4
slain,30,5.3,0.9,2513.2,2050
slam,30,3.6,1.1,1973.9,1178.2
slang,30,4.9,1.1,1666.7,828.3
slant,32,4.4,1,2210.3,2294.5
slap,31,3.3,1.1,1984.2,1428.3
slash,31,4.4,1,3225.4,3744
slat,31,5.7,1.3,2080.8,1257.6
slate,31,5,1.2,3920.2,6223.3
slave,30,3.8,1.1,2246.2,1591.4
slaw,32,4.6,1.3,2175.7,1957.6
slay,32,5.1,1,2218.5,1525.9
sled,31,3.3,1.1,1470.3,658.9
sledge,31,5.5,1.2,2281.6,2135.6
sleek,31,5.3,1.1,1803.3,1072
sleep,30,2.3,0.8,2014.1,1398.2
sleet,30,4.4,1.2,1843,857.6
sleeve,31,3.1,1.1,2002,2835.6
sleigh,32,3.7,1.5,1750.1,921.1
sleight,32,5.9,1.2,2453.2,1862.4
slept,32,3.1,0.9,2067.8,2058.3
sleuth,32,6,1.3,3436.2,6641.9
slew,32,5.7,1.2,1927,1182.2
slice,32,3.4,1.1,3002.4,4212.8
slick,32,4.4,1.1,2182.2,1913.7
slid,32,3.7,0.9,2062.2,1284.5
slide,32,3.2,1.2,1873.3,1270.5
slight,32,4.8,1,2528.7,1794.2
slim,32,4,0.9,2252.1,1571.4
slime,31,3.9,0.8,1894.3,1470.6
sling,31,4.5,1,2079.6,1556.2
slip,31,3.3,1,2117.2,1461
slit,32,4.3,1.1,1752,926.7
slop,31,4.7,1.4,2382.7,2027.8
slope,30,4.5,1,2339.7,2066.8
slot,31,4.3,1.2,2778.8,2206
sloth,32,5.4,1.3,1896.4,1129.4
slouch,32,4.4,0.9,1743.5,834
slow,31,2.7,0.8,2042.8,2507.9
slug,31,3.4,0.9,3061.2,7210
slum,32,5.2,1.1,2271.8,1820.5
slump,32,4.8,1,2718,2296.2
slung,32,4.5,1.1,2261.8,1477.1
slur,32,5.1,1,1541.7,702.3
slush,31,4.3,1.1,2083.8,1521.8
slut,32,6.3,0.8,2792.4,2318.1
sly,32,4.7,1,1872.3,1139.9
smack,32,3.8,1,1920,1181.1
small,32,2.5,0.7,1766.5,1205
smart,31,3.1,0.8,1716.5,1002.7
smash,30,3.5,1.2,2109.5,2269.3
smear,32,4.2,1.2,2771.6,4675.5
smell,32,2.7,0.9,2201,2286.7
smelt,32,5.3,1.5,2377.3,2373.1
smile,32,2.3,0.7,1726.4,1404.4
smirk,32,5.1,1.1,1387.3,644.2
smite,32,6.4,0.7,1716.3,1017.5
smock,30,4.6,1.6,1899.2,903.6
smog,31,5,1.3,2074.4,1679
smoke,32,3.8,1.2,2279.6,2115.7
smooth,30,3.4,1.1,1957.5,1777.4
smudge,32,4.3,1.2,2182.7,1616.5
smug,31,5.3,1.2,1836.9,1122.5
smut,32,5.8,1.3,1658.1,949.5
snack,30,2.3,0.6,1600.1,807.2
snag,31,4.6,1.1,1918.4,1377.3
snail,32,3.1,0.9,1690.8,1003.2
snake,31,2.6,1,1747.6,1363.3
snap,31,3.3,0.8,2244,2711.8
snare,32,5.2,1.3,1959.4,1922
snarl,31,5,1.4,1800.1,1124.4
snatch,31,4.1,1.2,2576.4,3099.5
sneak,31,3.6,0.9,2622.8,4261.9
sneer,31,5.2,1.2,2262.4,2364.4
sneeze,32,2.6,0.9,1795.6,955.1
snide,31,5.8,1.4,2081.1,2014.3
sniff,29,3.3,1,1954.1,1055.3
snip,32,4.5,1,3383,8051.7
snipe,30,5.9,1.2,2002.2,1751
snitch,31,4.7,1.3,2425.1,2779.4
snob,32,4.4,1,2235.3,1571.6
snoop,31,4.3,1.1,2381,2145.1
snooze,31,4.2,1,1965.8,1575
snore,31,3.5,1.1,1519.8,635.2
snort,31,4.2,1.4,2206.2,2135.4
snout,30,4,1.2,1975.8,1179.9
snub,31,5.3,1.1,2423.4,1844.6
snuff,31,5.4,1.3,2254.3,1682.9
snug,32,3.9,1.2,2349.1,2443.4
so,30,2.4,0.7,1785.4,1528.2
soak,31,3.6,1.1,1748.8,917.5
soap,32,2.6,0.7,1215.4,525.7
soar,31,4.4,1,1832.5,1535.5
sob,32,4.1,1.1,1687,1064.1
sock,32,2.4,0.8,1449.9,604.4
sod,32,5.3,1.3,1952.4,1846.1
soft,31,2.6,1.2,1945.8,1780.9
soil,31,3.5,1.1,2576.7,2472.6
sold,31,3.6,0.8,2063.6,1932.2
sole,32,4.7,1.1,3101.2,2218.1
solve,32,4,0.9,2188.3,2045.4
some,32,2.6,0.7,2322.6,1968.4
son,32,2.7,0.6,1618,837.5
song,32,2.7,0.7,1605.6,1091.5
soon,32,3,1.1,2519.4,2933.6
soot,31,4.6,1.3,2210.6,2048.2
soothe,31,4.5,1.1,1954.1,1263.7
sop,32,5.8,1.3,1974.6,1302
sore,32,3.7,1.1,2224.1,1696.5
sort,32,4.1,0.9,3134.9,7045.3
sough,32,6.3,1.1,1962.2,1478.1
sought,31,5.3,1.3,1804.5,1790
soul,32,4,0.9,2261.1,1375.4
sound,32,3.2,1,2211.5,1916.3
soup,32,2.5,0.8,1522.6,646.5
sour,32,3.3,0.7,2244.8,2562.3
source,31,4.7,0.8,1951.4,1621.7
south,32,3.5,0.9,2822.3,4253.6
sow,32,5,1.4,2170.8,1456.4
soy,32,5.3,1.2,3504.6,9557.9
spa,32,5,1.2,2462.8,3005.1
space,32,3.4,0.8,2268.8,1953.8
spade,31,5,1.3,2139,1684.4
span,32,4.8,0.9,3231.6,6017.3
spank,31,2.8,1.1,2309.1,2428.7
spar,31,5.9,1.1,1993.3,1650.3
spare,32,4.7,1.2,3156.4,4262.1
spark,32,4.1,0.9,2610.2,4602.2
sparse,32,5.9,1.1,2398.9,4338
spat,32,4.5,1.1,2063.8,1328.6
spawn,32,5.8,0.9,1645.9,687.2
speak,32,3.2,1,2036.5,1727.1
spear,32,4.4,0.9,2182.9,2275.5
speck,32,4.6,1.2,2522.8,3203.2
sped,32,4.4,1,2040.5,1781.6
speech,30,3.8,0.9,2452.2,4182.3
speed,32,3.7,1,2744,3480.6
spell,31,3.2,0.9,1963.4,1450.9
spend,31,3.7,0.9,1918.9,1376.2
spent,31,4.2,0.9,2791.1,4168.4
sperm,30,5.5,1.2,3008.7,2689.3
spew,31,4.9,1.2,2586.9,2824.4
sphere,31,5.1,1.1,2147,2119.1
sphinx,31,5.8,1.3,2114.6,2542.5
spice,32,4.2,1.2,2293.1,2310
spike,32,4.1,1.1,2061.5,1704
spill,31,2.7,0.9,2120.3,1318.7
spin,32,3.3,1.1,2646.4,3210.2
spine,31,4.2,1.2,1984.9,1210.9
spire,31,6.3,1.1,1997.4,2268.5
spit,31,3,0.9,2322.2,2257.1
spite,32,5.4,1.2,2039.1,1088.7
splash,32,3,1,2154.7,2235.2
splay,31,6.6,0.9,2223.6,1518.9
spleen,32,5.9,0.9,2105.8,1253.8
splice,32,5.7,1.2,1751.5,1128.5
splint,32,5,1,2417.6,1975.5
split,32,4,0.9,2761.7,4583.7
splotch,32,5.3,1.3,2035.9,1689.4
splurge,32,5.4,1.1,2130,1641.6
spoil,32,4.1,1.1,2430.8,1942.9
spoke,31,4,0.8,1998.5,1484.5
sponge,32,3.3,1,1804.1,1173
spoof,32,5.9,1,1611.9,635.7
spook,32,4,1.3,2150.4,1805
spool,32,5.4,1.2,2638,2691.1
spoon,32,2.4,0.8,2937,6212.2
spore,32,5.8,1.1,1593.6,833.2
sport,31,3.3,0.9,2006.3,1352.6
spot,31,3.1,0.8,2330.1,2194.8
spout,32,4.3,1.1,2072.4,1390.3
sprain,31,4.5,1.1,3144.1,5404.3
sprang,32,4.7,1.2,3037.5,2934.2
sprawl,32,4.9,1.3,1446,612.3
spray,32,3.5,0.9,3343,7977.4
spread,32,3.9,1,2390.3,2225.1
spree,31,5.3,1.3,2007,1380.6
sprig,31,6,1.2,4902.5,17390.6
spring,32,3.4,0.8,2387.6,1735.1
sprint,32,4.6,1.1,2370.4,2337
sprite,32,4.3,1.7,2761.6,1501.7
sprout,31,4.7,1.3,2128.3,1538.7
spruce,32,5.6,0.9,1576.7,1045.1
sprung,32,4.6,1,2997.8,4706.6
spry,32,6.2,1.4,1829,985.7
spud,31,5.1,1.4,1946.8,1212.9
spun,31,4,1.2,3214.8,5937.5
spunk,32,5.2,1.1,2931.6,4259.1
spur,30,4.7,1.3,2036.4,1550.1
spurn,32,6.2,1,2127.5,1626.5
spurt,31,5.2,1.1,1994.1,1654.4
spy,32,3.6,1,1360.3,610.7
squad,31,4.6,1,3393,5783.2
squall,32,5.4,1.4,2128.8,2142.2
square,32,2.6,1.1,2701,4867.2
squash,32,3.9,1.1,1974.1,1649.9
squat,31,4.1,1.3,2305.8,1673.2
squaw,31,6,1.2,2002.6,1577
squawk,32,4.7,1.6,2358.2,3143.5
squeak,32,3.1,1.1,1875.3,1152.9
squeal,31,4,1.4,2100.9,1633.4
squeeze,32,3.2,0.9,2757.1,4545.1
squelch,31,6.4,1.1,1807.9,1303.7
squid,32,4.1,1.2,2062.5,2161.2
squint,32,4.4,1.3,1999,1567.1
squire,31,5.9,1.1,1870.4,1072.7
squirm,32,4.1,1.4,1583.7,714.6
squirt,30,4,1.1,1777.7,905.3
stab,32,3.9,1.1,2428.2,2973.6
stack,32,3.8,0.9,2011.1,1615.7
staff,31,4.5,1,2405,2882.8
stag,30,5.4,1.4,2473.6,2549.8
stage,32,4.2,1,1884.4,1298.5
stain,31,4,1,2421,3211.7
stair,32,3.2,1.1,3351.3,4033.9
stake,30,4.8,0.9,2430.6,2039.3
stale,31,4.2,0.8,2270.4,1822.4
stalk,32,4.9,1.2,1943.1,1080.5
stall,31,4.2,0.9,2366.5,2629.6
stamp,31,3.6,0.8,3594.8,4833.2
stance,32,5.2,1,2060.4,1367
stanch,30,6.3,1.1,1498.1,639.5
stand,31,3.1,1,1793.7,1276.9
stank,32,4.3,1.6,1928.1,1277.5
star,30,2.8,1.1,1860.6,1429.1
starch,32,5.3,1,2048.2,2172.8
stare,32,3.7,1.1,2302.7,3087.5
stark,32,5.7,1,1954.4,937.3
start,31,2.6,0.7,2296.7,2166.7
starve,30,4,1.1,1935.5,1196.6
state,32,3.5,0.8,1824.3,944.1
staunch,31,6.5,0.9,1724.6,1135.9
stay,31,3,0.9,1709.4,1225.8
stead,30,5.8,1.2,2318.3,2133.7
steak,32,3.4,0.8,1992.6,1113.7
steal,31,3.5,1,1868.9,1245.4
stealth,31,5.7,1.2,1755,1213.3
steam,31,3.9,0.7,2048.2,1592.4
steed,32,5.5,1.1,2142.7,1649.1
steel,29,4.3,1.2,2610.6,2348
steep,31,4.3,1.3,2570.2,4278.6
steer,32,4.4,1.2,2557.4,2835.2
stein,31,6.3,1.2,2231.9,2832.6
stem,32,3.6,0.7,3143,3224.4
stench,31,4.9,1,2019.3,1552.6
step,31,3,1.1,2099.7,1741.2
steppe,32,6.6,0.7,1534.8,905.3
stern,32,4.9,1,2922.7,4767.2
stew,32,3.7,0.8,1789.5,1124.1
stick,31,3.3,1,1565.5,1076.1
stiff,32,4.2,0.9,2930.2,3301.8
stile,31,6.4,1.1,2148.6,2415.1
still,32,3.2,1.1,2156.2,1913
stilt,32,5,1.3,1953.3,1060.3
sting,32,3.3,0.9,1659.3,967.3
stink,31,3.3,1.1,1803.6,1730.8
stint,31,6,1.1,3170,6109.6
stir,32,3.4,0.9,1894.3,1693.5
stitch,31,4.3,1.2,2150.7,1228.9
stock,32,4.9,1,2418.5,2148.8
stoke,32,5.6,1.4,2248.2,2190.7
stole,32,3.4,1.1,2230.1,2126.2
stone,32,3.2,1.1,1505,1153.9
stood,32,3.7,0.9,2721.4,2825.4
stooge,32,5.3,1.4,1961.7,1426.5
stool,32,3.7,1.1,1943.6,1783.7
stoop,32,4.8,1.1,2059.3,1445.8
stop,30,2.2,0.7,1666.7,715.3
store,32,3.2,0.9,2222.9,1476.8
stork,31,4.1,1.3,2040,1003.4
storm,32,3.2,0.8,3341.8,4304
stout,32,5.6,1.2,1867.7,1384.6
stove,32,3.3,0.9,1617.4,873.7
stow,32,5.6,1.2,1933.8,1499.8
straight,31,3.3,0.7,1752.8,989.2
strain,32,4.7,1.1,2347.4,2379.4
strand,31,4.6,1.1,2428,1687.9
strange,32,3.9,1,2089,1414.7
strap,31,3.8,0.8,2224,1988.2
straw,31,3.1,1.1,1995.5,1304.4
stray,32,4.2,0.9,1832.3,1408.8
streak,32,4.7,1.3,2600,1872.8
stream,31,3.5,1.2,1736.5,806.7
street,31,2.9,1,1881.2,1243.3
strength,32,3.9,0.9,2689.1,3308.7
stress,32,5,1,2419.1,2670.8
stretch,32,3.5,1,2364.8,1828
strict,32,3.8,1,1624.3,887.7
stride,32,4.8,0.8,2334.9,2099.6
strife,31,5.7,1.2,2063.6,1993.2
strike,32,4.2,1,2219.8,2047
string,31,3.2,0.8,1973.4,1489.8
strip,32,4.5,1.2,3447.5,2827.4
stripe,32,3.5,1.2,1560.6,843.7
strive,30,5.4,1,2186.7,2993.6
strode,32,5.7,1.1,2003.2,1603.5
stroke,31,4.2,1.2,2673.7,2706.1
stroll,30,4.3,1.3,2005.6,1635.8
strong,32,3.3,0.8,1851.2,1354.5
strove,31,5.6,0.8,2698.9,2951.7
struck,32,4.2,1,2260.7,2221.8
strum,32,4.9,1.3,2274.6,2136.8
strung,32,4.8,1.1,2721.5,2819.2
strut,31,5,1.1,2322.2,1976.2
stub,31,4.2,1.4,3288.9,5668.3
stuck,31,3.5,1.2,4562.6,8667.2
stud,31,4.8,1.2,1961.9,1259
stuff,30,3,0.9,2053,1805
stump,32,3.7,1,1563.6,629.1
stun,31,4.7,1.2,2163.3,1813.7
stung,31,3.6,1.1,2900.9,3664.3
stunt,32,4.7,1.1,2480.9,3816.2
sty,32,6.1,1.1,1625,1043.4
style,32,4.4,0.9,1842.3,985.6
suave,31,5.7,1.3,1800.8,850.5
such,31,3.6,1.1,1583.9,942.9
suck,30,3.5,1.2,2140.1,1549.2
suds,32,4.2,1.5,1947.2,1966.9
sue,32,4.9,1.1,2494.7,1400.1
suede,29,5.4,1,2385.1,3571.4
suit,32,4,1,1923.4,1727
suite,30,4.9,0.9,2317.3,1074.2
sulk,32,5,1.3,1795.4,1507.1
sum,30,4,1.2,2248.5,1358
sun,32,2.2,0.6,1679,1378.2
sung,32,3.8,1.1,2474.9,2558.6
sunk,30,4,1,1895.5,1743.9
sup,31,6,1.3,2526.1,1304.8
sure,31,3.3,1.1,2348.7,2809.7
surf,32,3.8,1,1844.6,1234.3
surge,30,5.5,1,1560.1,808.1
swab,32,4.9,1.1,2358.8,3230.6
swag,32,6,1.1,2103.8,1242.2
swam,32,3.5,1,2077.5,1346.7
swamp,32,3.7,1.1,2401.6,2748.4
swan,31,3.3,1.2,2415.4,3131.4
swank,31,6.1,1.2,1803.6,1351.5
swap,32,4.3,1,2903.7,2274.9
swarm,31,4.7,1,2082.7,2047.5
swash,30,6.2,1.1,2307.3,1855.8
swat,31,4.1,1,2166.2,1599.7
swath,32,6.4,1,1929.3,1477.7
swathe,31,6.6,0.7,1555.3,1196.8
