word_english,aoa_M,RT_M,aoa_SD,RT_SD
butler,4.85,1824,1.11,1220
butter,3.21,2318,0.74,2937
button,3.39,2457,1.30,1927
buzzard,4.88,2242,1.28,1942
bypass,5.82,1758,1.24,837
cabbage,4.09,1840,1.43,834
cabin,4.12,2112,0.98,1825
cable,4.30,1998,1.11,1060
caboose,4.82,2736,1.38,3838
cactus,4.03,2377,1.14,1981
caddie,5.58,1980,1.44,1622
caddy,5.33,1726,1.34,859
cadet,5.42,1647,1.34,821
cafe,4.33,2370,1.11,2210
caffeine,4.73,1974,1.26,1276
callous,5.79,1549,1.23,857
camel,3.61,2322,1.05,2156
campaign,4.97,1804,1.16,1067
campus,5.18,2418,1.12,2883
canal,5.21,2367,1.29,3597
cancel,4.21,1818,1.04,1588
cancer,4.64,2019,1.04,1547
candid,5.61,2392,1.13,3128
candle,3.55,2070,0.97,1787
candor,5.91,2539,1.12,3961
candy,2.58,2263,1.12,2145
canine,5.12,2522,1.35,2182
cannon,4.79,1965,1.11,1183
cannot,3.58,2993,1.33,6327
canoe,4.00,1872,0.91,1533
canon,4.82,1988,0.97,2395
canteen,5.27,1811,1.22,1205
canvas,5.06,1732,1.16,988
canvass,5.30,2388,1.11,3097
caper,5.97,1541,0.95,1059
capsule,4.97,1723,1.24,914
captain,3.67,2114,0.87,1671
captive,5.15,1911,1.03,1197
capture,4.73,1657,1.16,1156
carbon,5.48,1596,1.21,593
carcass,5.58,1625,1.08,1116
career,4.97,1932,1.18,1260
caress,5.48,2024,1.04,2210
cargo,5.18,1935,1.10,1711
carnage,5.94,1995,1.16,2123
carnal,5.91,3592,1.17,5518
carol,4.48,1932,1.60,1214
carpet,3.45,1900,1.29,1135
carriage,4.61,2802,1.34,3879
carrot,2.76,2054,0.81,1369
carry,3.55,2261,1.07,1958
cartel,5.88,1794,1.37,1457
carton,3.94,2193,1.32,2635
cartoon,2.67,1949,0.98,1096
cartridge,5.73,2077,1.25,1458
cascade,5.33,2158,1.30,1929
cashier,4.09,1792,1.18,866
cashmere,5.73,2013,1.17,1650
casket,4.85,2049,1.24,1459
cassette,4.76,2120,1.47,1443
castle,3.18,1895,0.85,1167
castrate,6.24,1845,1.01,1284
cattle,3.82,2049,1.08,1258
caution,4.24,2315,1.16,4755
cautious,4.85,1523,1.05,729
cavern,5.42,2686,1.43,4157
cayenne,6.00,2039,1.12,2656
cedar,4.79,1605,1.24,1070
ceiling,3.76,2086,1.18,1443
celeste,5.91,1841,1.17,1178
cellar,5.03,2762,1.28,2609
cello,5.24,2091,1.43,1776
cement,4.27,1852,1.07,1653
censor,5.33,1917,1.11,1379
census,5.79,1740,1.15,1561
center,3.64,2221,1.05,2523
central,4.61,2388,1.02,2003
certain,4.58,1984,1.11,1379
chalice,5.91,1420,1.28,840
challenge,4.58,1766,1.20,1467
chamber,4.97,2098,1.34,2025
channel,4.03,2065,1.02,1517
chapel,4.48,1800,1.52,1036
chaplain,6.00,4267,1.20,14048
chapter,3.88,1538,1.14,633
charade,5.70,1886,1.01,1546
charcoal,4.94,5683,1.06,19387
charter,5.48,2563,1.15,2760
chartreuse,6.06,1660,1.11,1022
chassis,6.12,1642,1.03,1413
chateau,6.15,2140,0.97,2537
chauffeur,5.61,2140,1.18,2281
cheddar,3.88,1912,1.16,1042
cheetah,3.33,1860,0.95,1388
cherish,5.06,1450,1.34,1274
cherry,3.09,1702,0.74,1215
cherub,5.91,1953,1.17,2550
chicken,2.70,1733,1.24,1097
children,3.42,1514,1.34,706
chili,3.42,1956,0.98,1071
chilli,3.64,2288,1.14,1708
chimney,3.79,1873,1.15,1305
chisel,5.58,1664,1.22,818
chlorine,5.03,1757,1.26,942
chorus,4.61,2506,1.02,2248
christmas,2.36,2255,0.98,1392
chronic,5.67,1596,1.11,1630
chuckle,4.45,2129,1.16,3035
cider,4.48,1683,1.24,1239
cigar,4.88,1877,1.12,1163
cinder,5.70,2686,1.36,4360
cipher,6.30,1333,0.98,553
circa,6.21,1798,0.95,2032
circle,3.24,2069,1.31,1561
circuit,5.39,3351,1.11,7988
circus,3.30,1796,0.95,1175
city,3.39,1773,0.92,1120
civic,5.55,1984,1.22,1678
civil,4.94,2042,1.40,2175
classic,4.85,1971,0.98,1313
clatter,5.24,1760,1.10,1150
clearance,4.88,1686,1.12,1030
cleavage,5.67,2058,1.17,1436
clergy,5.42,2159,1.54,2534
cleric,6.06,1541,1.08,856
clever,4.64,2532,0.97,3739
cliche,5.85,1672,1.12,1177
client,5.39,1748,1.13,1462
climate,4.70,2135,1.25,1749
climax,5.36,1770,1.19,877
clingy,4.97,1737,1.26,1033
clinic,4.82,1797,1.23,1594
closet,3.36,1793,1.05,1081
closure,5.39,2282,1.11,2422
clover,4.06,3295,1.18,5931
clumsy,4.39,1920,1.19,1391
cluster,4.91,2550,1.24,3460
clutter,4.61,1686,1.11,1393
